test_id,start_time,end_time,duration_sec,goal_x,goal_y,start_x,start_y,result,collision_occurred,optimal_path_length,planned_path_length,actual_distance_traveled,path_efficiency_pct,replan_count,recovery_count,avg_cpu_pct,max_cpu_pct
1,2026-02-04T14:06:51.032683,2026-02-04T14:10:25.368952,21.18,6.09,4.18,0.00,-0.00,SUCCESS,False,7.39,0.25,8.29,89.1,191,1,97.2,98.8
2,2026-02-04T14:10:32.590355,2026-02-04T14:15:07.187358,25.70,3.48,-0.38,5.65,4.40,SUCCESS,False,5.25,0.21,8.59,61.2,253,3,97.8,99.3
