test_id,start_time,end_time,duration_sec,goal_x,goal_y,start_x,start_y,result,collision_occurred,optimal_path_length,planned_path_length,actual_distance_traveled,path_efficiency_pct,replan_count,recovery_count,avg_cpu_pct,max_cpu_pct
1,2026-02-04T13:46:39.496493,2026-02-04T13:51:53.817932,30.08,-7.00,-0.27,0.00,-0.00,SUCCESS,False,7.00,0.15,7.73,90.6,271,2,96.8,98.5
2,2026-02-04T13:51:55.158371,2026-02-04T13:52:04.169788,0.91,-7.06,-6.63,-7.16,-0.99,SUCCESS,False,5.64,6.30,0.23,2467.8,6,0,97.2,97.4
