test_id,start_time,end_time,duration_sec,goal_x,goal_y,start_x,start_y,result,collision_occurred,optimal_path_length,planned_path_length,actual_distance_traveled,path_efficiency_pct,replan_count,recovery_count,avg_cpu_pct,max_cpu_pct
1,2026-02-04T10:57:58.324849,2026-02-04T11:00:37.509476,16.26,5.23,-2.98,0.00,-0.00,SUCCESS,False,6.02,0.18,6.18,97.4,128,0,95.9,97.7
2,2026-02-04T11:01:09.078744,2026-02-04T11:05:43.591684,31.34,-0.22,5.99,5.18,-3.30,SUCCESS,False,10.75,0.14,11.42,94.1,246,0,95.1,96.7
